,library,sample,protocol,platform,lab,batch,rep,sample_rep
136,R_ILM_L2_B2_D5_2,D5,R,ILM,L2,R_ILM_L2_B2,2,D5_2
137,R_ILM_L2_B1_D5_3,D5,R,ILM,L2,R_ILM_L2_B1,3,D5_3
138,R_ILM_L2_B2_D5_3,D5,R,ILM,L2,R_ILM_L2_B2,3,D5_3
139,R_ILM_L2_B1_D6_1,D6,R,ILM,L2,R_ILM_L2_B1,1,D6_1
140,R_ILM_L2_B2_D6_1,D6,R,ILM,L2,R_ILM_L2_B2,1,D6_1
141,R_ILM_L2_B1_D6_2,D6,R,ILM,L2,R_ILM_L2_B1,2,D6_2
142,R_ILM_L2_B2_D6_2,D6,R,ILM,L2,R_ILM_L2_B2,2,D6_2
143,R_ILM_L2_B1_D6_3,D6,R,ILM,L2,R_ILM_L2_B1,3,D6_3
144,R_ILM_L2_B2_D6_3,D6,R,ILM,L2,R_ILM_L2_B2,3,D6_3
145,R_ILM_L2_B1_F7_1,F7,R,ILM,L2,R_ILM_L2_B1,1,F7_1
146,R_ILM_L2_B2_F7_1,F7,R,ILM,L2,R_ILM_L2_B2,1,F7_1
147,R_ILM_L2_B1_F7_2,F7,R,ILM,L2,R_ILM_L2_B1,2,F7_2
148,R_ILM_L2_B2_F7_2,F7,R,ILM,L2,R_ILM_L2_B2,2,F7_2
149,R_ILM_L2_B1_F7_3,F7,R,ILM,L2,R_ILM_L2_B1,3,F7_3
150,R_ILM_L2_B2_F7_3,F7,R,ILM,L2,R_ILM_L2_B2,3,F7_3
151,R_ILM_L2_B1_M8_1,M8,R,ILM,L2,R_ILM_L2_B1,1,M8_1
152,R_ILM_L2_B2_M8_1,M8,R,ILM,L2,R_ILM_L2_B2,1,M8_1
153,R_ILM_L2_B1_M8_2,M8,R,ILM,L2,R_ILM_L2_B1,2,M8_2
154,R_ILM_L2_B2_M8_2,M8,R,ILM,L2,R_ILM_L2_B2,2,M8_2
155,R_ILM_L2_B1_M8_3,M8,R,ILM,L2,R_ILM_L2_B1,3,M8_3
156,R_ILM_L2_B2_M8_3,M8,R,ILM,L2,R_ILM_L2_B2,3,M8_3
157,R_ILM_L4_B1_D5_1,D5,R,ILM,L4,R_ILM_L4_B1,1,D5_1
158,R_ILM_L4_B1_D5_2,D5,R,ILM,L4,R_ILM_L4_B1,2,D5_2
159,R_ILM_L4_B1_D5_3,D5,R,ILM,L4,R_ILM_L4_B1,3,D5_3
160,R_ILM_L4_B2_D5_1,D5,R,ILM,L4,R_ILM_L4_B2,1,D5_1
161,R_ILM_L4_B2_D5_2,D5,R,ILM,L4,R_ILM_L4_B2,2,D5_2
162,R_ILM_L4_B2_D5_3,D5,R,ILM,L4,R_ILM_L4_B2,3,D5_3
163,R_ILM_L4_B3_D5_1,D5,R,ILM,L4,R_ILM_L4_B3,1,D5_1
164,R_ILM_L4_B3_D5_2,D5,R,ILM,L4,R_ILM_L4_B3,2,D5_2
165,R_ILM_L4_B3_D5_3,D5,R,ILM,L4,R_ILM_L4_B3,3,D5_3
166,R_ILM_L4_B1_D6_1,D6,R,ILM,L4,R_ILM_L4_B1,1,D6_1
167,R_ILM_L4_B1_D6_2,D6,R,ILM,L4,R_ILM_L4_B1,2,D6_2
168,R_ILM_L4_B1_D6_3,D6,R,ILM,L4,R_ILM_L4_B1,3,D6_3
169,R_ILM_L4_B2_D6_1,D6,R,ILM,L4,R_ILM_L4_B2,1,D6_1
170,R_ILM_L4_B2_D6_2,D6,R,ILM,L4,R_ILM_L4_B2,2,D6_2
171,R_ILM_L4_B2_D6_3,D6,R,ILM,L4,R_ILM_L4_B2,3,D6_3
172,R_ILM_L4_B3_D6_1,D6,R,ILM,L4,R_ILM_L4_B3,1,D6_1
173,R_ILM_L4_B3_D6_2,D6,R,ILM,L4,R_ILM_L4_B3,2,D6_2
174,R_ILM_L4_B3_D6_3,D6,R,ILM,L4,R_ILM_L4_B3,3,D6_3
175,R_ILM_L4_B1_F7_1,F7,R,ILM,L4,R_ILM_L4_B1,1,F7_1
176,R_ILM_L4_B1_F7_2,F7,R,ILM,L4,R_ILM_L4_B1,2,F7_2
